Spectroscopic Ellipsometric (SE) Data:
Drude(RT), Einf = 1, UV Pole Amp = 0, UV Pole En = 11, IR Pole Amp = 0, Rho (Ohm cm) = 0.001, Tau (fs) = 5
Energy (eV)	Psi	Delta
4.960000	34.146889	0.086631	
4.935200	34.162170	0.088061	
4.910400	34.177711	0.089523	
4.885600	34.193512	0.091018	
4.860800	34.209579	0.092548	
4.836000	34.225922	0.094113	
4.811200	34.242546	0.095715	
4.786400	34.259457	0.097355	
4.761600	34.276665	0.099034	
4.736800	34.294170	0.100752	
4.712000	34.311985	0.102512	
4.687200	34.330120	0.104315	
4.662400	34.348576	0.106162	
4.637600	34.367367	0.108054	
4.612800	34.386497	0.109993	
4.588000	34.405975	0.111980	
4.563200	34.425812	0.114018	
4.538400	34.446018	0.116106	
4.513600	34.466599	0.118249	
4.488800	34.487568	0.120446	
4.464000	34.508934	0.122700	
4.439200	34.530704	0.125014	
4.414400	34.552895	0.127388	
4.389600	34.575516	0.129825	
4.364800	34.598576	0.132328	
4.340000	34.622089	0.134898	
4.315200	34.646069	0.137538	
4.290400	34.670528	0.140251	
4.265600	34.695477	0.143038	
4.240800	34.720932	0.145904	
4.216000	34.746910	0.148851	
4.191200	34.773418	0.151881	
4.166400	34.800480	0.154998	
4.141600	34.828110	0.158206	
4.116800	34.856323	0.161508	
4.092000	34.885136	0.164907	
4.067200	34.914566	0.168407	
4.042400	34.944637	0.172013	
4.017600	34.975368	0.175729	
3.992800	35.006775	0.179558	
3.968000	35.038879	0.183507	
3.943200	35.071709	0.187579	
3.918400	35.105282	0.191781	
3.893600	35.139622	0.196117	
3.868800	35.174759	0.200594	
3.844000	35.210716	0.205217	
3.819200	35.247520	0.209993	
3.794400	35.285202	0.214930	
3.769600	35.323792	0.220034	
3.744800	35.363316	0.225313	
3.720000	35.403816	0.230775	
3.695200	35.445320	0.236430	
3.670400	35.487865	0.242286	
3.645600	35.531490	0.248353	
3.620800	35.576237	0.254642	
3.596000	35.622147	0.261165	
3.571200	35.669262	0.267933	
3.546400	35.717628	0.274959	
3.521600	35.767296	0.282256	
3.496800	35.818317	0.289840	
3.472000	35.870747	0.297727	
3.447200	35.924641	0.305933	
3.422400	35.980061	0.314476	
3.397600	36.037067	0.323377	
3.372800	36.095737	0.332657	
3.348000	36.156136	0.342338	
3.323200	36.218338	0.352446	
3.298400	36.282433	0.363008	
3.273600	36.348503	0.374053	
3.248800	36.416641	0.385614	
3.224000	36.486942	0.397725	
3.199200	36.559521	0.410425	
3.174400	36.634483	0.423756	
3.149600	36.711952	0.437765	
3.124800	36.792057	0.452502	
3.100000	36.874939	0.468026	
3.075200	36.960751	0.484397	
3.050400	37.049652	0.501688	
3.025600	37.141827	0.519976	
3.000800	37.237457	0.539349	
2.976000	37.336761	0.559906	
2.951200	37.439964	0.581761	
2.926400	37.547318	0.605040	
2.901600	37.659092	0.629890	
2.876800	37.775597	0.656480	
2.852000	37.897167	0.685004	
2.827200	38.024166	0.715688	
2.802400	38.157017	0.748799	
2.777600	38.296185	0.784650	
2.752800	38.442192	0.823618	
2.728000	38.595634	0.866154	
2.703200	38.757187	0.912809	
2.678400	38.927635	0.964261	
2.653600	39.107872	1.021360	
2.628800	39.298946	1.085179	
2.604000	39.502083	1.157106	
2.579200	39.718746	1.238968	
2.554400	39.950661	1.333219	
2.529600	40.199917	1.443246	
2.504800	40.469009	1.573857	
2.480000	40.760906	1.732098	
2.455200	41.078991	1.928647	
2.430400	41.426628	2.180197	
2.405600	41.805641	2.513213	
2.380800	42.211628	2.967635	
2.356000	42.623981	3.590519	
2.331200	42.999268	4.396902	
2.306400	43.296288	5.325355	
2.281600	43.510406	6.283201	
2.256800	43.661560	7.215463	
2.232000	43.770226	8.105384	
2.207200	43.850548	8.953158	
2.182400	43.911461	9.763978	
2.157600	43.958595	10.543798	
2.132800	43.995609	11.298044	
2.108000	44.024948	12.031357	
2.083200	44.048294	12.747600	
2.058400	44.066849	13.450037	
2.033600	44.081490	14.141397	
2.008800	44.092865	14.824038	
1.984000	44.101463	15.499965	
1.959200	44.107666	16.170938	
1.934400	44.111771	16.838522	
1.909600	44.114002	17.504101	
1.884800	44.114548	18.168945	
1.860000	44.113552	18.834192	
1.835200	44.111134	19.500925	
1.810400	44.107384	20.170141	
1.785600	44.102371	20.842779	
1.760800	44.096161	21.519743	
1.736000	44.088791	22.201899	
1.711200	44.080292	22.890093	
1.686400	44.070694	23.585140	
1.661600	44.060001	24.287861	
1.636800	44.048229	24.999058	
1.612000	44.035370	25.719538	
1.587200	44.021420	26.450111	
1.562400	44.006367	27.191591	
1.537600	43.990192	27.944815	
1.512800	43.972866	28.710625	
1.488000	43.954369	29.489880	
1.463200	43.934658	30.283485	
1.438400	43.913700	31.092352	
1.413600	43.891449	31.917429	
1.388800	43.867855	32.759705	
1.364000	43.842865	33.620201	
1.339200	43.816414	34.499981	
1.314400	43.788437	35.400177	
1.289600	43.758869	36.321938	
1.264800	43.727619	37.266491	
1.240000	43.694614	38.235126	
